pair_id,lambda_id,lambda_shape,id_sim,ssim,l2_mse
pair_1,0.5,0.0,0.063319,0.872388,189.1255
pair_1,0.5,0.5,0.083371,0.872082,227.4462
pair_1,0.5,1.0,0.009575,0.898084,137.1563
pair_1,0.5,1.2,0.055397,0.902707,119.9846
pair_1,0.5,2.0,0.043244,0.907795,123.8221
pair_1,1.0,0.0,0.04799,0.894117,172.4227
pair_1,1.0,0.5,-0.011605,0.8721,210.7333
pair_1,1.0,1.0,-0.01606,0.913842,103.6285
pair_1,1.0,1.2,0.044041,0.902058,170.976
pair_1,1.0,2.0,-0.004544,0.87226,205.4547
pair_1,2.0,0.0,-0.021923,0.912256,103.677
pair_1,2.0,0.5,0.023362,0.875292,160.957
pair_1,2.0,1.0,0.074646,0.89767,146.1198
pair_1,2.0,1.2,-0.11794,0.894486,156.5092
pair_1,2.0,2.0,0.010327,0.887786,154.5755
pair_1,2.5,0.0,-0.007165,0.876775,173.7976
pair_1,2.5,0.5,-0.012267,0.873612,166.6135
pair_1,2.5,1.0,-0.024972,0.908117,111.6633
pair_1,2.5,1.2,-0.029871,0.878635,155.3838
pair_1,2.5,2.0,-0.093021,0.885309,147.5243
pair_1,4.0,0.0,0.037627,0.891607,146.3402
pair_1,4.0,0.5,-0.027709,0.872022,229.5233
pair_1,4.0,1.0,0.018994,0.905517,116.1704
pair_1,4.0,1.2,0.059857,0.885095,176.2757
pair_1,4.0,2.0,-0.01539,0.87032,227.2833
